external_id,codeName,fullName,status,intro_year,last_played_year
8700001,,Royal Challengers Bangalore,,,
8700002,,Kings XI Punjab,,,
8700003,,Delhi Daredevils,,,
8700004,,Mumbai Indians,,,
8700005,,Kolkata Knight Riders,,,
8700006,,Rajasthan Royals,,,
8700007,,Deccan Chargers,,,
8700008,,Chennai Super Kings,,,
8700009,,Kochi Tuskers Kerala,,,
8700010,,Pune Warriors,,,
8700011,,Sunrisers Hyderabad,,,
8700012,,Gujarat Lions,,,
8700013,,Rising Pune Supergiants,,,
8700014,,Rising Pune Supergiant,,,
8700015,,Delhi Capitals,,,
